,id,nombre,votos,periodo,partido,bancada,dist_electoral,condicion,website
0,1112,María Grimaneza Acuña Peralta,"11,384",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Lambayeque,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GrimanezaAcuna/
1,1160,Segundo Héctor Acuña Peralta,"19,729",Parlamentario 2021 - 2026,Alianza para el Progreso,HONOR Y DEMOCRACIA,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SegundoAcuna/
2,1096,María Antonieta Agüero Gutiérrez,"29,293",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaAguero/
3,1037,Alejandro Aurelio Aguinaga Recuenco,"10,715",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Lambayeque,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlejandroAguinaga/
4,1142,Yorel Kira Alcarraz Aguero,"28,404",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/YorelAlcarraz/
5,1079,Arturo Alegría García,"2,443",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,San martin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisAlegria/
6,1029,María del Carmen Alva Prieto,"25,219",Parlamentario 2021 - 2026,Acción Popular,NO AGRUPADO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaAlva/
7,1054,Carlos Enrique Alva Rojas,"8,061",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CarlosAlva/
8,1143,Yessica Rosselli Amuruz Dulanto,"21,855",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/YessicaAmuruz/
9,1053,Carlos Antonio Anderson Ramírez,"14,052",Parlamentario 2021 - 2026,Podemos Perú,NO AGRUPADO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CarlosAnderson/
10,1077,Luis Ángel Aragón Carreño,"12,291",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,Cusco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisAragon/
11,1041,José Alberto Arriola Tueros,"34,982",Parlamentario 2021 - 2026,Acción Popular,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseArriola/
12,1045,Alfredo Azurín Loayza,"23,624",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlfredoAzurin/
13,1060,José María Balcázar Zelada,"6,641",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Lambayeque,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseBalcazar/
14,1152,Rosangella Andrea Barbarán Reyes,"22,572",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RosangellaBarbaran/
15,1069,Diego Alonso Fernando Bazán Calderón,"22,200",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DiegoBazan/
16,1158,Sigrid Tesoro Bazán Narro,"44,359",Parlamentario 2021 - 2026,Juntos por el Perú,BLOQUE DEMOCRÁTICO POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SigridBazan/
17,1101,Guido Bellido Ugarte,"20,164",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PODEMOS PERÚ,Cusco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GuidoBellido/
18,1103,Guillermo Bermejo Rojas,"8,254",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GuillermoBermejo/
19,1063,Juan Bartolomé Burgos Oliveros,"10,060",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,PODEMOS PERÚ,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JuanBurgos/
20,1056,Ernesto Bustamante Donayre,"24,075",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ErnestoBustamante/
21,1071,Digna Calle Lobatón,"54,282",Parlamentario 2021 - 2026,Podemos Perú,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DignaCalle/
22,1030,Lady Mercedes Camones Soriano,"6,203",Parlamentario 2021 - 2026,Alianza para el Progreso del Perú,ALIANZA PARA EL PROGRESO,Ancash,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LadyCamones/
23,1075,Eduardo Enrique Castillo Rivas,"10,901",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/EduardoCastillo/
24,1038,Alejandro Enrique Cavero Alva,"30,242",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlejandroCavero/
25,1148,Waldemar José Cerrón Rojas,"25,281",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/WaldemarCerron/
26,1131,Nilza Merly Chacón Trujillo,"3,950",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Ancash,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NilzaChacon/
27,1051,Betssy Betzabet Chávez Chino,"8,472",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,NO AGRUPADO,Tacna,Suspendido por Acusación Constitucional,https://www.congreso.gob.pe/congresistas2021/BetssyChavez/
28,1121,Roberto Enrique Chiabra León,"19,222",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RobertoChiabra/
29,1032,Patricia Rosa Chirinos Venegas,"9,033",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,RENOVACIÓN POPULAR,Callao,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/PatriciaChirinos/
30,1129,Miguel Angel Ciccia Vásquez,"9,269",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MiguelCiccia/
31,1130,Jorge Samuel Coayla Juárez,"4,846",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Moquegua,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeCoayla/
32,1082,Luis Gustavo Cordero Jon Tay,"4,531",Parlamentario 2021 - 2026,Fuerza Popular,SOMOS PERÚ,Lima Provincias,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisCordero/
33,1102,María del Pilar Cordero Jon Tay,"2,194",Parlamentario 2021 - 2026,Fuerza Popular,NO AGRUPADO,Tumbes,Suspendido por sanción,https://www.congreso.gob.pe/congresistas2021/MariaCordero/
34,1116,María Jessica Córdova Lobatón,"12,552",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Lambayeque,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaCordova/
35,1115,Isabel Cortez Aguirre,"34,888",Parlamentario 2021 - 2026,Juntos por el Perú,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/IsabelCortez/
36,1091,Flavio Cruz Mamani,"30,025",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/FlavioCruz/
37,1100,José Ernesto Cueto Aservi,"36,769",Parlamentario 2021 - 2026,Renovación Popular,HONOR Y DEMOCRACIA,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseCueto/
38,1150,Víctor Raúl Cutipa Ccama,"3,821",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Moquegua,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/VictorCutipa/
39,1136,Pasión Neomias Dávila Atanacio,"3,915",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Pasco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/PasionDavila/
40,1095,Freddy Ronald Díaz Monago,"4,195",Parlamentario 2021 - 2026,Alianza para el Progreso,NO AGRUPADO,Pasco,Destituído,https://www.congreso.gob.pe/congresistas2021/FreddyDiaz/
41,1139,Raúl Felipe Doroteo Carbajo,"8,482",Parlamentario 2021 - 2026,Acción Popular,ACCIÓN POPULAR,Ica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RaulDoroteo/
42,1073,Gladys Margot Echaíz Ramos vda de Núñez,"21,627",Parlamentario 2021 - 2026,Alianza para el Progreso,HONOR Y DEMOCRACIA,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GladysEchaiz/
43,1104,Hamlet Echeverría Rodríguez,"3,647",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HamletEcheverria/
44,1146,Wilmar Alberto Elera García,"11,483",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,Piura,Destituído,https://www.congreso.gob.pe/congresistas2021/WilmarElera/
45,1057,José Luis Elías Ávalos,"10,708",Parlamentario 2021 - 2026,Podemos Perú,ALIANZA PARA EL PROGRESO,Ica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseElias/
46,1122,Jhaec Darwin Espinoza Vargas,"6,505",Parlamentario 2021 - 2026,Acción Popular,PODEMOS PERÚ,Ancash,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DarwinEspinoza/
47,1128,Jorge Luis Flores Ancachi,"23,539",Parlamentario 2021 - 2026,Acción Popular,PODEMOS PERÚ,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeFlores/
48,1044,Alex Randu Flores Ramírez,"21,993",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Ayacucho,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlexFlores/
49,1149,Víctor Seferino Flores Ruíz,"12,256",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/VictorFlores/
50,1113,Idelso Manuel García Correa,"14,205",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/IdelsoGarcia/
51,1031,Americo Gonza Castillo,"10,394",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AmericoGonza/
52,1067,Diana Carolina Gonzales Delgado,"24,948",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DianaGonzales/
53,1108,Hernando Guerra García Campos,"55,987",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,Fallecido,https://www.congreso.gob.pe/congresistas2021/HernandoGuerraGarcia/
54,1137,Paul Silvio Gutiérrez Ticona,"11,124",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Apurimac,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/PaulGutierrez/
55,1163,Nelcy Lidia Heidinger Ballesteros,"1,324",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Pasco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NelcyHeindinger/
56,1089,Fernando Mario Herrera Mamani,"6,105",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Tacna,Fallecido,https://www.congreso.gob.pe/congresistas2021/FernandoHerrera/
57,1133,Noelia Rossvith Herrera Medina,"8,619",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Callao,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NoeliaHerrera/
58,1140,Raúl Huamán Coronado,"9,588",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Ica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RaulHuaman/
59,1052,Mery Eliana Infantes Castañeda,"2,575",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Amazonas,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MeryInfantes/
60,1099,María de los Milagros Jackeline Jáuregui Martínez de Aguayo,"68,003",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaJauregui/
61,1049,José Enrique Jeri Oré,"11,654",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseJeri/
62,1065,David Julio Jiménez Heredia,"7,278",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/DavidJimenez/
63,1107,Heidy Lisbeth Juárez Calle,"19,153",Parlamentario 2021 - 2026,Alianza para el Progreso del Perú,PODEMOS PERÚ,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HeydiJuarez/
64,1059,Carmen Patricia Juárez Gallegos,"40,125",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CarmenJuarez/
65,1083,Elva Edhit Julón Irigoín,"9,080",Parlamentario 2021 - 2026,Alianza para el Progreso del Perú,ALIANZA PARA EL PROGRESO,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ElvaJulon/
66,1087,Luis Roberto Kamiche Morante,"6,035",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,ALIANZA PARA EL PROGRESO,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisKamiche/
67,1162,Nieves Esmeralda Limachi Quispe,"3,125",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Tacna,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NievesLimachi/
